date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-07-08,sh.000001,2997.8060,2997.8060,2918.7150,2933.3630,3011.0580,21154126848,205568815104.0000,3,0.618058,1,-2.580300,0.000000,0.000000,0.000000,0.000000,0
2019-07-09,sh.000001,2928.8180,2937.7620,2912.8060,2928.2290,2933.3630,14511060480,154251423744.0000,3,0.423786,1,-0.175000,0.000000,0.000000,0.000000,0.000000,0
2019-07-10,sh.000001,2935.1850,2936.7510,2908.1620,2915.3020,2928.2290,13548353792,141236256768.0000,3,0.395643,1,-0.441500,0.000000,0.000000,0.000000,0.000000,0
2019-07-11,sh.000001,2928.0550,2945.8020,2907.8850,2917.7600,2915.3020,14369252096,152181407744.0000,3,0.419112,1,0.084300,0.000000,0.000000,0.000000,0.000000,0
2019-07-12,sh.000001,2915.3400,2938.5310,2905.8090,2930.5460,2917.7600,13779475968,142918868992.0000,3,0.401866,1,0.438200,0.000000,0.000000,0.000000,0.000000,0
2019-07-15,sh.000001,2921.5460,2955.0000,2886.6990,2942.1850,2930.5460,16764339712,176533200896.0000,3,0.488805,1,0.397200,0.000000,0.000000,0.000000,0.000000,0
2019-07-16,sh.000001,2938.6410,2944.8210,2931.2920,2937.6160,2942.1850,13181175040,140766388224.0000,3,0.384318,1,-0.155300,0.000000,0.000000,0.000000,0.000000,0
2019-07-17,sh.000001,2933.0220,2942.0660,2924.4590,2931.6920,2937.6160,14963161600,152162963456.0000,3,0.436240,1,-0.201700,0.000000,0.000000,0.000000,0.000000,0
2019-07-18,sh.000001,2921.7380,2921.7380,2901.1760,2901.1760,2931.6920,14988882688,149088841728.0000,3,0.436989,1,-1.040900,0.000000,0.000000,0.000000,0.000000,0
2019-07-19,sh.000001,2909.6790,2939.5970,2909.6790,2924.2000,2901.1760,14946955264,149071212544.0000,3,0.435737,1,0.793600,0.000000,0.000000,0.000000,0.000000,0
2019-07-22,sh.000001,2925.7880,2927.1600,2879.6900,2886.9740,2924.2000,18067495936,204289433600.0000,3,0.526633,1,-1.273000,0.000000,0.000000,0.000000,0.000000,0
2019-07-23,sh.000001,2886.9040,2901.3590,2883.0450,2899.9440,2886.9740,12931050752,148077350912.0000,3,0.376955,1,0.449300,0.000000,0.000000,0.000000,0.000000,0
2019-07-24,sh.000001,2907.9270,2936.4520,2907.7860,2923.2770,2899.9440,15524576256,178858102784.0000,3,0.452564,1,0.804600,0.000000,0.000000,0.000000,0.000000,0
2019-07-25,sh.000001,2923.1880,2937.3600,2916.1490,2937.3600,2923.2770,14568438528,175356383232.0000,3,0.424611,1,0.481800,0.000000,0.000000,0.000000,0.000000,0
2019-07-26,sh.000001,2928.0610,2948.3260,2924.4510,2944.5410,2937.3600,13934338816,158774665216.0000,3,0.406130,1,0.244500,0.000000,0.000000,0.000000,0.000000,0
2019-07-29,sh.000001,2943.9180,2948.4660,2932.9770,2941.0070,2944.5410,12799184640,147439132672.0000,3,0.372959,1,-0.120000,0.000000,0.000000,0.000000,0.000000,0
2019-07-30,sh.000001,2946.2560,2965.6320,2946.2560,2952.3380,2941.0070,14831646208,170866348032.0000,3,0.432085,1,0.385300,0.000000,0.000000,0.000000,0.000000,0
2019-07-31,sh.000001,2944.3970,2944.3970,2926.4850,2932.5050,2952.3380,14105234688,164607873024.0000,3,0.410923,1,-0.671800,0.000000,0.000000,0.000000,0.000000,0
2019-08-01,sh.000001,2920.8500,2927.3420,2901.7500,2908.7660,2932.5050,14238981376,171115634688.0000,3,0.414820,1,-0.809500,0.000000,0.000000,0.000000,0.000000,0
2019-08-02,sh.000001,2861.3320,2872.4730,2851.4400,2867.8370,2908.7660,18488844288,216327401472.0000,3,0.538606,1,-1.407100,0.000000,0.000000,0.000000,0.000000,0
2019-08-05,sh.000001,2854.5780,2863.6890,2821.4950,2821.4950,2867.8370,16741942272,196891484160.0000,3,0.486666,1,-1.615900,0.000000,0.000000,0.000000,0.000000,0
2019-08-06,sh.000001,2776.9880,2787.4180,2733.9240,2777.5550,2821.4950,23112372736,255209230336.0000,3,0.671732,1,-1.557300,0.000000,0.000000,0.000000,0.000000,0
2019-08-07,sh.000001,2789.0180,2792.6930,2768.6790,2768.6790,2777.5550,15771675136,176475729920.0000,3,0.458367,1,-0.319600,0.000000,0.000000,0.000000,0.000000,0
2019-08-08,sh.000001,2784.1830,2799.6850,2782.2440,2794.5520,2768.6790,14953956352,178156146688.0000,3,0.434602,1,0.934500,0.000000,0.000000,0.000000,0.000000,0
2019-08-09,sh.000001,2805.5850,2808.3280,2770.4770,2774.7530,2794.5520,14824029184,171140337664.0000,3,0.430747,1,-0.708500,0.000000,0.000000,0.000000,0.000000,0
2019-08-12,sh.000001,2781.9810,2814.9940,2776.6190,2814.9940,2774.7530,13156343296,162523258880.0000,3,0.381895,1,1.450300,0.000000,0.000000,0.000000,0.000000,0
2019-08-13,sh.000001,2798.0510,2802.0410,2790.6080,2797.2590,2814.9940,13091650560,153957511168.0000,3,0.380029,1,-0.630000,0.000000,0.000000,0.000000,0.000000,0
2019-08-14,sh.000001,2824.4860,2829.8900,2807.7190,2808.9140,2797.2590,14401464064,173944885248.0000,3,0.418046,1,0.416700,0.000000,0.000000,0.000000,0.000000,0
2019-08-15,sh.000001,2762.3390,2815.8960,2756.8340,2815.7970,2808.9140,15277215232,173670539264.0000,3,0.443458,1,0.245000,0.000000,0.000000,0.000000,0.000000,0
2019-08-16,sh.000001,2817.5700,2840.3160,2811.8010,2823.8230,2815.7970,14858234368,186139369472.0000,3,0.431289,1,0.285000,0.000000,0.000000,0.000000,0.000000,0
2019-08-19,sh.000001,2835.5180,2883.0960,2829.8540,2883.0960,2823.8230,21454666752,247092215808.0000,3,0.622389,1,2.099000,0.000000,0.000000,0.000000,0.000000,0
2019-08-20,sh.000001,2879.0810,2892.0790,2874.9980,2880.0010,2883.0960,18967720704,209774346240.0000,3,0.550111,1,-0.107300,0.000000,0.000000,0.000000,0.000000,0
2019-08-21,sh.000001,2875.4700,2885.5860,2872.5570,2880.3300,2880.0010,15901966592,183187275776.0000,3,0.461065,1,0.011400,0.000000,0.000000,0.000000,0.000000,0
2019-08-22,sh.000001,2887.6640,2888.4960,2867.5520,2883.4350,2880.3300,14920621568,169662169088.0000,3,0.432591,1,0.107800,0.000000,0.000000,0.000000,0.000000,0
2019-08-23,sh.000001,2885.1510,2902.4560,2878.7440,2897.4250,2883.4350,15915682560,192567132160.0000,3,0.461430,1,0.485200,0.000000,0.000000,0.000000,0.000000,0
2019-08-26,sh.000001,2851.0150,2870.4930,2849.2380,2863.5670,2897.4250,16989536256,191036669952.0000,3,0.492196,1,-1.168600,0.000000,0.000000,0.000000,0.000000,0
2019-08-27,sh.000001,2879.5150,2919.6440,2879.4060,2902.1930,2863.5670,20814179328,230999691264.0000,3,0.603057,1,1.348900,0.000000,0.000000,0.000000,0.000000,0
2019-08-28,sh.000001,2901.6260,2905.4350,2887.0110,2893.7560,2902.1930,18309790208,201805049856.0000,3,0.530486,1,-0.290700,0.000000,0.000000,0.000000,0.000000,0
2019-08-29,sh.000001,2895.9990,2898.6040,2878.5870,2890.9190,2893.7560,17861308160,196332769280.0000,3,0.517451,1,-0.098000,0.000000,0.000000,0.000000,0.000000,0
2019-08-30,sh.000001,2907.3820,2914.5760,2874.1020,2886.2360,2890.9190,19395995136,224751169536.0000,3,0.561897,1,-0.162000,0.000000,0.000000,0.000000,0.000000,0
2019-09-02,sh.000001,2886.9410,2928.4790,2883.6820,2924.1060,2886.2360,20278680832,226043695104.0000,3,0.587462,1,1.312100,0.000000,0.000000,0.000000,0.000000,0
2019-09-03,sh.000001,2925.9420,2930.1530,2915.1970,2930.1530,2924.1060,18900121600,225070157824.0000,3,0.547465,1,0.206800,0.000000,0.000000,0.000000,0.000000,0
2019-09-04,sh.000001,2927.7470,2957.4110,2925.8820,2957.4110,2930.1530,22549590784,251212693504.0000,3,0.653169,1,0.930300,0.000000,0.000000,0.000000,0.000000,0
2019-09-05,sh.000001,2972.6610,3015.8440,2972.6610,2985.8640,2957.4110,30543870720,340200665088.0000,3,0.884732,1,0.962100,0.000000,0.000000,0.000000,0.000000,0
